147,39.10,26.12,101087.20,19.81
148,38.77,26.11,101092.26,19.39
149,38.60,26.7,101093.50,19.29
150,39.20,26.6,101092.21,19.39
151,39.61,26.6,101097.64,18.94
152,39.47,26.6,101095.45,19.12
153,39.69,26.7,101092.64,19.36
154,39.12,26.4,101098.29,18.89
155,38.90,26.3,101093.8,19.32
156,39.37,26.4,101096.63,19.3
157,39.28,26.4,101099.35,18.80
158,39.71,26.4,101102.6,18.57
159,39.20,26.3,101100.37,18.71
160,39.56,26.4,101100.71,18.69
161,39.70,26.3,101097.65,18.94
162,38.99,26.4,101099.35,18.80
163,39.70,26.6,101104.0,18.41
164,39.46,26.4,101096.93,19.0
165,39.2,26.4,101102.46,18.54
166,39.53,26.5,101100.9,18.74
167,39.13,26.4,101102.37,18.55
168,39.7,26.4,101098.85,18.84
169,38.89,26.5,101104.10,18.40
170,39.70,26.7,101103.51,18.45
171,39.0,26.7,101101.22,18.64
172,39.77,26.10,101105.7,18.32
173,38.86,26.11,101102.70,18.52
174,39.62,26.12,101107.64,18.11
175,39.2,26.10,101105.51,18.28
176,39.68,26.11,101104.6,18.41
177,38.86,26.12,101102.64,18.52
178,39.68,26.10,101107.35,18.13
179,39.17,26.10,101104.64,18.36
180,39.35,26.5,101105.52,18.28
181,39.22,26.0,101106.3,18.24
182,39.43,25.97,101104.45,18.37
183,39.43,25.94,101107.98,18.8
184,40.34,25.93,101104.99,18.33
185,39.56,25.92,101108.72,18.2
186,39.79,25.87,101099.16,18.81
187,39.61,25.86,101106.54,18.20
188,40.35,25.82,101105.3,18.32
189,39.79,25.81,101103.34,18.47
190,39.86,25.80,101104.32,18.38
191,40.32,25.84,101109.4,17.99
192,40.66,25.85,101109.81,17.93
193,41.99,25.85,101108.45,18.4
194,40.60,25.87,101110.95,17.83
195,41.79,25.87,101109.59,17.94
196,39.69,25.88,101114.37,17.55
197,41.49,25.87,101115.39,17.46
198,41.19,25.93,101114.0,17.58
199,40.71,25.95,101115.14,17.48
200,40.3,25.97,101121.61,16.94
201,40.37,25.98,101113.89,17.59
202,40.16,25.95,101122.79,16.84
203,37.76,25.95,101116.93,17.33
204,37.75,25.97,101114.82,17.51
205,36.20,25.98,101112.96,17.66
206,37.15,25.98,101115.19,17.48
207,37.71,25.97,101108.53,18.3
208,36.17,25.95,101106.99,18.16
209,37.60,25.93,101111.28,17.80
210,37.56,25.95,101107.5,18.16
211,39.37,25.97,101110.84,17.84
212,38.44,25.97,101106.67,18.19
213,38.61,26.0,101110.59,17.86
214,37.45,26.2,101114.93,17.50
215,40.19,26.1,101111.39,17.79
216,38.56,26.1,101114.54,17.53
217,39.40,26.4,101115.15,17.48
218,39.66,26.3,101114.39,17.54
219,39.48,26.2,101112.16,17.73
220,40.31,26.3,101112.10,17.74
221,39.42,26.1,101112.75,17.68
222,40.9,26.0,101110.9,17.90
223,39.94,26.48,101117.89,17.25
224,38.35,26.50,101111.3,17.82
225,38.94,26.48,101114.25,17.56
226,38.29,26.44,101111.64,17.77
227,40.55,26.29,101117.53,17.28
228,38.92,26.19,101112.74,17.68
229,39.9,26.10,101115.7,17.49
230,38.69,26.0,101117.38,17.29
231,39.67,26.3,101114.39,17.54
232,41.33,25.97,101116.28,17.39
233,39.85,25.98,101110.68,17.85
234,39.68,26.1,101111.89,17.75
235,39.79,25.98,101113.40,17.63
236,39.87,25.97,101113.96,17.58
237,39.13,25.88,101107.15,18.15
238,39.97,25.81,101110.56,17.86
239,39.93,25.87,101109.53,17.95
240,42.13,25.88,101118.88,17.17
241,40.73,25.90,101108.29,18.5
242,40.71,25.93,101118.57,17.20
243,40.20,25.92,101122.30,16.88
244,41.25,25.95,101121.99,16.91
245,41.26,25.95,101128.22,16.39
246,40.36,25.98,101122.90,16.83
247,40.47,25.97,101122.54,16.86
248,43.37,25.87,101125.82,16.59
249,43.88,25.82,101131.26,16.14
250,43.95,25.84,101126.20,16.56
251,41.26,25.88,101123.1,16.83
252,41.72,25.87,101116.32,17.38
253,43.31,25.80,101127.40,16.46
254,42.28,25.81,101116.91,17.33
255,41.85,25.81,101121.42,16.96
256,41.50,25.87,101120.89,17.0
257,40.45,25.87,101111.32,17.80
258,43.18,25.86,101124.19,16.73
259,43.38,25.87,101119.87,17.9
260,41.96,25.88,101122.95,16.83
261,42.43,25.92,101120.2,17.7
262,41.52,25.95,101121.0,16.99
263,42.31,25.93,101121.21,16.98
264,42.82,25.94,101117.57,17.28
265,41.36,25.90,101118.72,17.18
266,41.44,25.88,101115.73,17.43
267,41.48,25.87,101110.46,17.87
268,40.46,25.88,101115.30,17.47
269,41.48,25.87,101111.87,17.75
270,42.63,25.87,101120.3,17.7
271,41.83,25.86,101119.16,17.15
272,41.54,25.86,101113.73,17.60
273,41.78,25.81,101117.78,17.26
274,41.40,25.79,101121.64,16.94
275,41.25,25.80,101120.21,17.6
276,42.3,25.79,101118.6,17.24
277,41.9,25.79,101114.35,17.55
278,40.57,25.86,101114.25,17.56
279,40.73,25.87,101111.71,17.77
280,40.36,25.85,101113.45,17.62
281,39.70,25.87,101111.87,17.75
282,39.85,25.82,101114.14,17.57
283,39.95,25.79,101110.43,17.87
284,41.16,25.79,101120.34,17.5
285,40.12,25.81,101119.63,17.11
286,40.34,25.79,101115.78,17.43
287,40.18,25.77,101111.92,17.75
288,40.54,25.78,101115.50,17.45
289,40.64,25.79,101112.20,17.73
290,40.1,25.77,101113.81,17.59
291,40.77,25.71,101116.9,17.40
292,40.84,25.70,101113.96,17.58
293,40.95,25.68,101116.46,17.37
294,40.20,25.65,101117.10,17.32
295,40.72,25.64,101110.91,17.83
296,40.44,25.62,101110.64,17.86
297,40.21,25.59,101113.71,17.60
298,40.9,25.57,101107.9,18.15
299,40.89,25.56,101111.75,17.76
300,40.42,25.54,101111.43,17.79
